Sillaba,Conteggio,lunghezza_sillaba
schiet,7,6.0
schiét,4,6.0
schioc,2,6.0
schiàc,2,6.0
schiaf,2,6.0
schiat,2,6.0
schiàn,2,6.0
schiàf,2,6.0
splanc,2,6.0
schiop,2,6.0
schiàt,1,6.0
striàr,1,6.0
schiéz,1,6.0
schian,1,6.0
schiòp,1,6.0
schiàp,1,6.0
schièt,1,6.0
sghiac,1,6.0
schial,1,6.0
schièl,1,6.0
stract,1,6.0
schiòt,1,6.0
schiàr,1,6.0
schiòc,1,6.0
strèss,1,6.0
schia,60,5.0
strut,49,5.0
schià,32,5.0
gliàn,28,5.0
scrit,27,5.0
scrìt,22,5.0
chiac,21,5.0
trans,21,5.0
schio,20,5.0
scher,19,5.0
strac,18,5.0
chiet,18,5.0
scièn,18,5.0
chiét,16,5.0
strin,15,5.0
chiap,15,5.0
sciac,15,5.0
scien,14,5.0
strèl,13,5.0
gliét,13,5.0
schie,13,5.0
stràn,12,5.0
gliàr,11,5.0
schet,11,5.0
stroz,11,5.0
strat,11,5.0
ghiac,11,5.0
chioc,11,5.0
squar,11,5.0
stron,11,5.0
spruz,10,5.0
strel,10,5.0
schét,10,5.0
stram,10,5.0
strap,10,5.0
strìn,9,5.0
stria,9,5.0
chièl,9,5.0
schiz,9,5.0
sdruc,8,5.0
chiòt,8,5.0
strom,8,5.0
schiù,8,5.0
scheg,8,5.0
stran,8,5.0
strià,8,5.0
schér,7,5.0
ghiot,7,5.0
ghiàc,7,5.0
schiè,7,5.0
chiàr,7,5.0
scioc,7,5.0
scial,7,5.0
sbian,7,5.0
sguar,7,5.0
glièn,7,5.0
strug,7,5.0
stret,7,5.0
scian,7,5.0
chiel,7,5.0
spres,7,5.0
gliàc,6,5.0
strep,6,5.0
fluen,6,5.0
strét,6,5.0
stràc,6,5.0
chiàn,6,5.0
gliac,6,5.0
stral,6,5.0
chiòc,6,5.0
sprez,6,5.0
chias,6,5.0
sgrop,6,5.0
spran,6,5.0
schiu,6,5.0
sciut,5,5.0
gliet,5,5.0
squìn,5,5.0
stric,5,5.0
sciat,5,5.0
sciàr,5,5.0
squit,5,5.0
sciòl,5,5.0
strit,5,5.0
strùt,5,5.0
sbran,5,5.0
striz,5,5.0
ghian,5,5.0
sfran,5,5.0
sciam,5,5.0
stril,5,5.0
gliar,5,5.0
sciàl,5,5.0
sciùt,5,5.0
spian,5,5.0
sfron,5,5.0
strim,5,5.0
sbruf,5,5.0
clien,4,5.0
stràt,4,5.0
stràr,4,5.0
sgual,4,5.0
sgram,4,5.0
strip,4,5.0
sbrin,4,5.0
sprov,4,5.0
sdrùc,4,5.0
strio,4,5.0
scroc,4,5.0
sgras,4,5.0
striè,4,5.0
gliof,4,5.0
strùg,4,5.0
chiàt,4,5.0
sciàc,4,5.0
thlon,4,5.0
chiàc,4,5.0
scric,4,5.0
sciàn,4,5.0
schió,4,5.0
cròss,4,5.0
sgros,3,5.0
schég,3,5.0
chial,3,5.0
splèn,3,5.0
squil,3,5.0
chiaz,3,5.0
spiaz,3,5.0
ghiàn,3,5.0
phlet,3,5.0
chiàp,3,5.0
scrìc,3,5.0
sfrut,3,5.0
plànc,3,5.0
streg,3,5.0
sgres,3,5.0
squal,3,5.0
sghia,3,5.0
splen,3,5.0
sgrap,3,5.0
sbrec,3,5.0
sgiun,3,5.0
schéz,3,5.0
schic,3,5.0
strec,3,5.0
sgron,3,5.0
strèn,3,5.0
sbloc,3,5.0
sgraf,3,5.0
stres,3,5.0
planc,3,5.0
sbrac,3,5.0
strib,2,5.0
sciot,2,5.0
sgrom,2,5.0
schìz,2,5.0
strìc,2,5.0
stròn,2,5.0
sfrat,2,5.0
sgiùn,2,5.0
stiàn,2,5.0
brian,2,5.0
sprèz,2,5.0
sgran,2,5.0
squin,2,5.0
sbrón,2,5.0
stròr,2,5.0
triar,2,5.0
sfioc,2,5.0
chian,2,5.0
stròz,2,5.0
drien,2,5.0
sbren,2,5.0
triun,2,5.0
sfrom,2,5.0
ghioz,2,5.0
stràl,2,5.0
stràm,2,5.0
sbiet,2,5.0
spiàn,2,5.0
gliot,2,5.0
strop,2,5.0
chiéz,2,5.0
sfian,2,5.0
squìl,2,5.0
stròc,2,5.0
sbrai,2,5.0
sprùz,2,5.0
ghiót,2,5.0
sgrot,2,5.0
scràn,2,5.0
strón,2,5.0
squac,2,5.0
sprès,2,5.0
sguin,2,5.0
squàr,2,5.0
spiàg,2,5.0
sciòt,2,5.0
scrol,2,5.0
strùz,2,5.0
strùc,2,5.0
stròi,2,5.0
sguàr,2,5.0
sciol,2,5.0
splìt,2,5.0
gliàz,2,5.0
sbrat,2,5.0
schèl,2,5.0
spion,2,5.0
sgher,2,5.0
squas,2,5.0
sguàn,2,5.0
struc,2,5.0
stràp,2,5.0
squat,2,5.0
schèr,2,5.0
tràns,2,5.0
sciar,2,5.0
nietz,2,5.0
spiac,2,5.0
scròc,2,5.0
sguer,2,5.0
ghièl,2,5.0
schèt,1,5.0
squàc,1,5.0
flàsh,1,5.0
spiag,1,5.0
spriz,1,5.0
nìstr,1,5.0
schìc,1,5.0
sguìz,1,5.0
struo,1,5.0
sghem,1,5.0
sghin,1,5.0
strìz,1,5.0
sbròc,1,5.0
gliùz,1,5.0
schél,1,5.0
spròc,1,5.0
shock,1,5.0
spiàz,1,5.0
chiùr,1,5.0
spréz,1,5.0
spril,1,5.0
squét,1,5.0
chiog,1,5.0
spiat,1,5.0
sbrìc,1,5.0
dungs,1,5.0
schim,1,5.0
sbràc,1,5.0
strùf,1,5.0
sbràt,1,5.0
sbroc,1,5.0
stiac,1,5.0
gliòt,1,5.0
sghèr,1,5.0
chioz,1,5.0
ghièn,1,5.0
spràt,1,5.0
t'àrm,1,5.0
sfiam,1,5.0
sfert,1,5.0
strèp,1,5.0
stuel,1,5.0
stròp,1,5.0
fròst,1,5.0
sfrec,1,5.0
priàr,1,5.0
clàmp,1,5.0
chiàg,1,5.0
chiàs,1,5.0
sgnac,1,5.0
sleal,1,5.0
sfrìg,1,5.0
quiem,1,5.0
sguaz,1,5.0
gliel,1,5.0
sgràs,1,5.0
grìll,1,5.0
sprét,1,5.0
strub,1,5.0
squàl,1,5.0
sghim,1,5.0
stróm,1,5.0
sguan,1,5.0
sguai,1,5.0
gliòm,1,5.0
frónt,1,5.0
schec,1,5.0
strió,1,5.0
sdiac,1,5.0
brech,1,5.0
saint,1,5.0
sciòc,1,5.0
sfrin,1,5.0
stror,1,5.0
sfràt,1,5.0
triot,1,5.0
sfios,1,5.0
struà,1,5.0
stràz,1,5.0
stièn,1,5.0
sbron,1,5.0
stroc,1,5.0
gliéz,1,5.0
streb,1,5.0
strìl,1,5.0
sgràf,1,5.0
sfiac,1,5.0
sguàt,1,5.0
strìs,1,5.0
sguìn,1,5.0
sblòc,1,5.0
sprìz,1,5.0
stièr,1,5.0
scram,1,5.0
sbiel,1,5.0
sbrùf,1,5.0
chiec,1,5.0
sprin,1,5.0
splàn,1,5.0
shish,1,5.0
stock,1,5.0
strìb,1,5.0
stréz,1,5.0
spòrt,1,5.0
strùl,1,5.0
nìght,1,5.0
chieg,1,5.0
sting,1,5.0
chiàz,1,5.0
squàs,1,5.0
gliòc,1,5.0
sgril,1,5.0
gliuz,1,5.0
sclau,1,5.0
glial,1,5.0
spràn,1,5.0
plòmb,1,5.0
right,1,5.0
sbiàn,1,5.0
chiur,1,5.0
hèrtz,1,5.0
ghiòz,1,5.0
gliòf,1,5.0
sgrón,1,5.0
glien,1,5.0
sdram,1,5.0
sciàt,1,5.0
spiom,1,5.0
sciàm,1,5.0
sbrén,1,5.0
ghióz,1,5.0
cruen,1,5.0
sgrìn,1,5.0
sfrit,1,5.0
sguiz,1,5.0
spràz,1,5.0
spreg,1,5.0
scròl,1,5.0
splàt,1,5.0
strau,1,5.0
sghém,1,5.0
glieg,1,5.0
sfion,1,5.0
strul,1,5.0
stra,373,4.0
glia,329,4.0
glià,327,4.0
chià,280,4.0
chia,273,4.0
schi,241,4.0
stro,238,4.0
glio,205,4.0
chio,197,4.0
strà,161,4.0
scia,158,4.0
stri,153,4.0
scèn,121,4.0
stru,120,4.0
scon,119,4.0
tran,113,4.0
scià,112,4.0
sche,106,4.0
